simulation_id,dominance_rank,crowding_distance,annual_consumption_kwh,comfort_hours,peak_cooling_kw,is_validated,wall_u_value,roof_u_value,window_u_value,window_shgc,window_to_wall_ratio,infiltration_ach,hvac_cop,hvac_setpoint_cooling,hvac_setpoint_heating,lighting_power_density,equipment_power_density,occupancy_density
nsga2_20260116_170241_r0_30,0,0.04145042442865883,41143.8623543916,5478.740198310921,30.118928709215446,False,0.8572895042027628,0.5181041064062724,3.930644458731929,0.4799558103349381,0.21071631107376426,0.7140520337979843,4.518346915094609,24.42019004394526,21.21708574984433,12.649315538111178,8.724502287776758,0.1392548863674865
nsga2_20260116_170241_r0_31,0,0.018474588703134547,41143.8623543916,5478.740198310921,30.118928709215446,False,0.8690921890491401,0.5195916314056114,3.9359008444490393,0.4810454772313185,0.21021334953809404,0.7138088234515665,4.537927879254239,24.42027916782589,21.21708574984433,14.298671690518006,8.724502287776758,0.06524996819736761
nsga2_20260116_170241_r0_32,0,0.04103907931106171,40060.68988552595,5111.652800192779,23.224202163512476,False,0.626945195606836,0.5725556034844044,3.841342797133209,0.35274511505751266,0.409308695501564,0.7144404548434351,4.3534695882066945,24.42029461808377,20.609129823582425,14.348207943735163,8.73309021578547,0.1186094884302756
nsga2_20260116_170241_r0_33,0,0.03941516787798071,40060.68988552595,5111.652800192779,23.224202163512476,False,0.626945195606836,0.5725556034844044,3.8423247050102605,0.355218619199476,0.409308695501564,0.7139245646047462,4.364413193768778,24.42029461808377,21.178844679190444,14.348207943735163,8.733684857629912,0.1186094884302756
nsga2_20260116_170241_r0_34,0,0.025932995437824527,38176.6505348801,5183.541412572935,27.064597147995336,False,0.8524897189088199,0.5750261314366037,3.6500263072491976,0.3705608591713975,0.41141003614853944,0.7117972293012202,4.536809560520866,25.441199438712093,20.604194855403605,12.576654785905356,8.892892571281308,0.07049319554467631
nsga2_20260116_170241_r0_35,0,0.039751042137540105,38176.6505348801,5183.541412572935,27.064597147995336,False,0.8524897189088199,0.5705969264600713,3.6500263072491976,0.3705608591713975,0.4114205829031523,0.7109688942205091,4.536809560520866,25.441199438712093,20.182530243538384,12.576654785905356,8.892892571281308,0.07049319554467631
nsga2_20260116_170241_r0_36,0,0.036337551153693304,43165.101805745064,5003.461632886253,21.98748770313863,False,0.4230810136571185,0.5713850866237316,5.342021776673666,0.5017164647539181,0.40891055463641324,0.7029101843388174,4.501875944139204,25.393373061228623,21.15739602829732,12.61899147899588,19.459026044521202,0.0708044568454465
nsga2_20260116_170241_r0_37,0,0.029822233624082952,43165.101805745064,5003.461632886253,21.98748770313863,False,0.43254706610458027,0.5678446105505952,3.768974109385051,0.3700143322396441,0.4036240887796675,0.7027700053873869,4.516970818409978,25.420281760731285,21.106898142722393,12.577774506810663,9.64568312190032,0.0700624017454764
nsga2_20260116_170241_r0_38,0,0.02396065283222742,37947.88273669042,5279.65122340335,28.66489939255883,False,0.8642255013749698,0.41964533038588614,3.6369187648636023,0.35030861291601345,0.3976634128956029,0.7106564638771118,4.115879844230342,24.420291963049316,21.227477736379942,14.34598316490785,8.90511620286129,0.1199609797371672
nsga2_20260116_170241_r0_39,0,0.034428356219864335,37947.88273669042,5279.65122340335,28.66489939255883,False,0.8496276239993796,0.4128097308783447,3.5930939350625435,0.34899294108227574,0.40891307558310186,0.7106445994905202,4.542374553189366,24.38050433624572,21.2791761871499,14.484381195129378,19.278573757084928,0.06842104400537705
nsga2_20260116_170241_r0_40,0,0.03352531059271066,45692.15976941111,5431.680793021297,27.757995048301932,False,0.6378304057568897,0.5330885477759626,3.9359008444490393,0.5194503211047363,0.2234028634481509,0.7111813803288125,4.519276211205574,24.39857308946155,21.225310034674617,12.649315538111178,8.936476767835382,0.14205116758922182
nsga2_20260116_170241_r0_41,0,0.03140235592684235,45692.15976941111,5431.680793021297,27.757995048301932,False,0.6223414094124278,0.5710766154440956,3.841342797133209,0.5285928365308015,0.21658239463407908,0.7144404548434351,4.3534695882066945,24.421447303099132,20.60316612722194,14.295087649131744,8.73309021578547,0.06420545723595827
nsga2_20260116_170241_r0_42,0,0.03328102151799201,42267.41235352027,5328.7016289441435,27.904267976208807,False,0.6334561623317384,0.5200617942312569,3.6697627377526754,0.5244345145025584,0.41549188624439315,0.7140369751975815,4.363222635775263,24.202163391001072,19.684659772124746,12.623439386957171,9.383991913695212,0.13832377596636145
nsga2_20260116_170241_r0_43,0,0.026261224792585823,42267.41235352027,5328.7016289441435,27.904267976208807,False,0.6334561623317384,0.5200617942312569,3.6697627377526754,0.5322395558643263,0.41549188624439315,0.7140369751975815,3.1798929262471507,24.202163391001072,20.1467183125279,12.623439386957171,9.383991913695212,0.11962227603459015
nsga2_20260116_170241_r0_44,0,0.032666562142399665,45490.17878219951,4590.6413271086285,19.988263108438666,False,0.24832170935913192,0.5680033488129915,5.225557478579386,0.5059183837864325,0.41021949793626333,0.716222630863867,4.47929420737179,22.04562180046745,18.172149817589553,6.999847714244168,18.615051514267062,0.07133205755110425
nsga2_20260116_170241_r0_45,0,0.03154548517122668,45490.17878219951,4590.6413271086285,19.988263108438666,False,0.24832170935913192,0.5680033488129915,5.1823857180256825,0.5059183837864325,0.4216013187197799,0.716222630863867,4.47929420737179,24.32613541301053,18.172149817589553,12.705436528751521,18.615051514267062,0.12013180123997111
nsga2_20260116_170241_r0_46,0,0.03906504497080407,39831.92208733628,5207.762611023195,24.824504408075974,False,0.6693947329013796,0.44608302486233253,1.060079537090311,0.36744075495423667,0.5672210115355454,0.7117773648760691,2.771577923826166,24.497005034050282,21.117498740828903,13.592856980423079,8.762332473823486,0.06997285423621671
nsga2_20260116_170241_r0_47,0,0.026261224792586066,41372.630152581274,5382.630387480505,28.518626464651952,False,0.8748224282110317,0.5769313512939893,3.7357993997023287,0.49506428438006733,0.22309520648574493,0.7027740746503492,4.166652885686904,25.449502122252262,21.203447230987653,12.686016262802386,9.673991295839524,0.07214309775370135
nsga2_20260116_170241_r0_48,0,0.02714576276294558,41372.630152581274,5382.630387480505,28.518626464651952,False,0.847175212894854,0.5247961450644837,3.727123346310132,0.36062328731260906,0.22102979956789198,0.7103381781611925,4.131948847490131,24.440757417074764,20.15264835950824,12.652845750185833,8.563530801917972,0.0701431019610212
nsga2_20260116_170241_r0_49,0,0.018474588703133826,42496.18015170994,5232.591818113728,26.303965731645313,False,0.6282375092802193,0.5336926690514893,3.821815674580711,0.5194503211047363,0.4126095531960763,0.7111813803288125,4.516551775245935,24.41653921099865,20.08826011335262,6.170976234234513,8.937700558230375,0.14239219630422617
nsga2_20260116_170241_r0_50,0,0.024003930151870093,42496.18015170994,5232.591818113728,26.303965731645313,False,0.62611602520086,0.5272915105261475,5.341995158935508,0.5247586628934555,0.40891307558310186,0.7225965110885704,4.50229967857122,24.417641753431624,21.213929690694354,14.35895154636717,19.28222597069525,0.07668772470363132
nsga2_20260116_170241_r0_51,0,0.03451688633760281,43256.66950322713,5310.74177510035,24.678231480169096,False,0.6385305520508968,0.5239090458170189,3.8247221987920192,0.506629210504034,0.21519232610720151,0.7174686895562729,3.110650040565072,24.951433555338077,19.710773100923237,12.573186986057243,9.016471074178243,0.06840529502774816
